Year,パチンコユーザー(千人）,人口推移（千人）,生産年齢人口（千人）,備考
1994,29300,124961,87300,推計（1995年とほぼ同水準）
1995,29000,125439,87260,国勢調査・史上ピーク
1996,27600,125757,87200,推計
1997,23100,126057,87100,
1998,19800,126400,86900,
1999,18600,126631,86700,
2000,20200,126843,86500,国勢調査
2001,19300,127149,86100,
2002,21700,127445,85600,
2003,17400,127718,85100,
2004,17900,127761,84600,
2005,17100,127773,84400,国勢調査
2006,16600,127854,83800,
2007,14500,128001,83200,
2008,15800,128063,82500,
2009,17200,128047,81700,
2010,16790,128070,80800,国勢調査
2011,12600,127833,79900,
2012,11100,127629,79000,
2013,9700,127445,78100,
2014,11500,127276,77200,
2015,10700,127141,77280,国勢調査
2016,9400,126994.511,76600,
2017,9000,126785.797,75900,
2018,9500,126529.1,75200,
2019,8900,126633,74600,
2020,7100,126261,74100,国勢調査
2021,7200,125681.593,74000,
2022,7700,125124.989,73980,
2023,,124516.65,73950,総務省推計（59.5%）
